,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,precio_pesos_constantes,year,precio_por_m2,COMUNA
37,53467,2021-02-01,Departamento,47.0,41.0,1,1,2,0,No,30.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Luro,U,-58.5078610903242,-34.6324945929461,9166.97948118376,2021,223.58486539472585,COMUNA 10
115,53129,2021-04-01,Departamento,64.0,56.0,2,1,3,0,No,45.0,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,1,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Versalles,U,-58.5275254801579,-34.6340532195665,8962.78483655637,2021,160.0497292242209,COMUNA 10
153,54802,2022-02-01,Departamento,79.0,72.0,3,2,4,0.0,No,48.0,0,Sí,0,No,Sí,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Floresta,U,-58.4662894801594,-34.6257880005951,12444.5565400141,2022,172.8410630557514,COMUNA 10
175,53148,2021-12-01,Departamento,36.0,36.0,1,1,2,0.0,No,45.0,0,Sí,0,No,Sí,Sí,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Floresta,U,-58.4860803845515,-34.6345653527509,8297.23826529147,2021,230.4788407025408,COMUNA 10
200,54793,2021-10-01,Departamento,40.0,40.0,1,1,2,0,0,0.0,0,No,0,No,0,0,0,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Floresta,N,-58.4859196071783,-34.6255504039725,6272.4173582878,2021,156.81043395719502,COMUNA 10
226,54467,2022-08-01,Departamento,141.0,126.0,3,3,4,,0.0,26.0,,1.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Floresta,U,-58.4794082653716,-34.627432949888,15349.3853722641,2022,121.82051882749286,COMUNA 10
365,54468,2022-11-01,Departamento,40.0,40.0,2,1,3,,0.0,50.0,,0.0,,0.0,1.0,0.0,0.0,1.0,,,0.0,,,,,0.0,0.0,1,,,,,,0.0,,,Capital Federal,Capital Federal,Floresta,U,-58.4772270958227,-34.6274593902648,8601.77137651883,2022,215.04428441297077,COMUNA 10
490,57078,2022-04-01,Departamento,70.0,50.0,2,1,3,0.0,   0,0.0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,Villa Real,U,-58.5249482574553,-34.6124450133968,7986.01211715808,2022,159.7202423431616,COMUNA 10
642,51492,2021-12-01,Departamento,48.0,52.0,1,1,2,0.0,0,8.0,0,Sí,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Luro,U,-58.5102384846616,-34.6432854064555,10240.5388063729,2021,196.93343858409423,COMUNA 10
663,52816,2021-08-01,Departamento,63.0,55.0,1,1,2,0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Floresta,U,-58.4926567218753,-34.636288408193,9207.75187181793,2021,167.41367039668964,COMUNA 10
767,53478,2022-03-01,Departamento,45.0,40.0,2,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Floresta,N,-58.483866920886,-34.6327889267775,9781.97750946392,2022,244.549437736598,COMUNA 10
823,53482,2021-04-01,Departamento,36.0,36.0,1,1,2,0,No,13.0,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Floresta,U,-58.4751416824908,-34.6328947874992,5321.65349670535,2021,147.8237082418153,COMUNA 10
