,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,precio_pesos_constantes,year,precio_por_m2,COMUNA
3,62402,2022-11-01,Departamento,436.0,436.0,2,3,8,,,50.0,,0.0,,0.0,,1.0,0.0,1.0,,,,,,,,,0.0,2,,,,,,0.0,0.0,,Capital Federal,Capital Federal,Recoleta,U,-58.3936172633508,-34.5851615632459,123006.867629671,2022,282.1258431873188,COMUNA 2
30,61741,2021-09-01,Departamento,140.0,135.0,2,2,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Recoleta,S,-58.4002181873365,-34.588692831698,19235.4132328869,2021,142.48454246582887,COMUNA 2
48,61737,2021-11-01,Departamento,98.0,98.0,3,1,4,0,No,40.0,0,No,0,No,No,Sí,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Recoleta,U,-58.4089390908616,-34.5885924424733,21757.9789146835,2021,222.0201930069745,COMUNA 2
79,61088,2022-09-01,Departamento,624.0,624.0,5,4,7,,0.0,75.0,,1.0,,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,2,,,,,,0.0,,,Capital Federal,Capital Federal,Recoleta,U,-58.3893770380026,-34.5924235982254,164193.281259468,2022,263.1302584286346,COMUNA 2
80,62728,2022-11-01,Departamento,38.0,38.0,1,1,2,,0.0,40.0,,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0,,0.0,,,,0.0,0.0,,Capital Federal,Capital Federal,Recoleta,U,-58.4001274406273,-34.5832836185461,8837.43634573853,2022,232.56411436154025,COMUNA 2
93,61743,2021-09-01,Departamento,88.0,58.0,1,1,2,0,0,40.0,0,Sí,0,0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Recoleta,U,-58.3958577194312,-34.5887427927101,16590.543913365,2021,286.04386057525863,COMUNA 2
99,60090,2022-05-01,Departamento,43.0,40.0,1,1,2,,0,40.0,,1,,0,0,0,0,1,,,0,,,,,0,0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Recoleta,U,-58.4134522370272,-34.5975573078922,10806.7401527564,2022,270.16850381891,COMUNA 2
164,61084,2022-09-01,Departamento,48.0,41.0,1,1,2,,0.0,40.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,Capital Federal,Capital Federal,Recoleta,U,-58.3980983718245,-34.5923239743348,15110.2492539113,2022,368.5426647295439,COMUNA 2
168,62070,2021-03-01,Departamento,26.0,26.0,1,1,1,0,No,30.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Recoleta,U,-58.4001879357461,-34.5868897612042,6122.9824770187,2021,235.49932603918077,COMUNA 2
186,59773,2021-10-01,Departamento,22.0,22.0,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Recoleta,S,-58.3873166225595,-34.5996607188156,6504.72911229846,2021,295.66950510447543,COMUNA 2
