,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,precio_pesos_constantes,year,precio_por_m2,COMUNA
24,65659,2022-11-01,Departamento,53.0,51.0,1,1,1,,1.0,12.0,,1.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,0.0,1.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Villa Urquiza,U,-58.4652441210683,-34.5662884633444,12961.5733070832,2022,254.14849621731764,COMUNA 12
38,64991,2021-09-01,Departamento,49.0,46.0,1,1,2,0,No,20.0,0,Sí,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Urquiza,U,-58.4871040312866,-34.5696308696777,9617.70661644347,2021,209.0805786183363,COMUNA 12
109,63345,2021-01-01,Departamento,40.0,35.0,0,1,1,0,No,2.0,0,Sí,0,No,Sí,Sí,Sí,No,0,0,No,0,0,0,0,No,Sí,1,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Urquiza,U,-58.4894444853917,-34.5786193091401,7914.15895209832,2021,226.11882720280917,COMUNA 12
112,66314,2021-11-01,Departamento,63.0,63.0,2,1,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Coghlan,S,-58.4717193226841,-34.5626037476909,16998.4210270965,2021,269.81620677930954,COMUNA 12
139,64335,2022-10-01,Departamento,70.0,67.0,2,1,3,,,60.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Villa Urquiza,U,-58.4828087570053,-34.5732899290548,17304.8786910643,2022,258.2817715084224,COMUNA 12
154,64007,2021-05-01,Departamento,33.0,33.0,1,1,1,0,No,17.0,No,Sí,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Urquiza,U,-58.4806609787918,-34.5751194048679,7863.04332688196,2021,238.27404020854425,COMUNA 12
181,62357,2021-08-01,Departamento,45.0,39.0,0,1,1,0,No,0.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Pueyrredón,N,-58.4917210250004,-34.5840016816132,7963.46107832902,2021,204.1913097007441,COMUNA 12
203,64334,2022-04-01,Departamento,35.0,33.0,1,1,2,0.0,   0,50.0,   0,Sí,   0,   0,   0,Sí,   0,Sí,   0,   0,   0,   0,   0,   0,   0,   0,   0,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,Villa Urquiza,U,-58.484988505362,-34.573263424994,6743.74356560016,2022,204.3558656242473,COMUNA 12
241,63679,2021-09-01,Departamento,50.0,41.0,1,1,2,0,No,12.0,No,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,No,1,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Urquiza,U,-58.478513106518,-34.5769488447537,12022.1332705543,2021,293.22276269644635,COMUNA 12
272,63676,2022-07-01,Departamento,43.0,40.0,1,1,2,,0,15.0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,,,,0.0,0,,Capital Federal,Capital Federal,Villa Urquiza,U,-58.4850526422978,-34.5768694386589,9704.99775073986,2022,242.6249437684965,COMUNA 12
282,69598,2021-11-01,Departamento,35.0,35.0,1,1,2,0,No,35.0,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Urquiza,U,-58.4844758199162,-34.5444152350969,6232.75437660205,2021,178.07869647434427,COMUNA 12
330,61035,2021-11-01,Departamento,38.0,34.0,0,1,1,0,No,7.0,0,No,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Pueyrredón,U,-58.5049311446202,-34.5910530227035,6799.3684108386,2021,199.9814238481941,COMUNA 12
369,63675,2022-08-01,Departamento,80.0,80.0,2,2,3,,0.0,45.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1,,0.0,,,,0.0,0.0,,Capital Federal,Capital Federal,Villa Urquiza,U,-58.487232481865,-34.5768428921374,20930.9800530875,2022,261.63725066359376,COMUNA 12
